 ,Andong,Ansan-si,Anseong,Anyang-si,Asan,Beolgyo,Boryeong,Bucheon-si,Busan,Buyeo,Changnyeong,Changsu,Changwon,Cheonan,Cheongju-si,Cheongsong gun,Chinch'ŏn,Chinju,Chuncheon,Daegu,Daejeon,Eisen,Eisen,Gaigeturi,Ganghwa-gun,Gangneung,Gapyeong,Gijang,Gimcheon,Gongju,Goseong,Goyang-si,Gumi,Gunsan,Guri-si,Gwangju,Gwangju,Gyeongju,Gyeongsan-si,Haenam,Hanam,Hayang,Heunghae,Hongch’ŏn,Hongseong,Hwacheon,Hwado,Hwaseong-si,Hwasun,Hwawŏn,Icheon-si,Iksan,Imsil,Incheon,Jeju City,Jenzan,Jeongeup,Jeonju,Jinan-gun,Kimhae,Kimje,Kinzan,Koch'ang,Koesan,Kosong,Kunwi,Kurye,Kwangmyŏng,Kwangyang,Kyosai,Masan,Miryang,Mokpo,Muan,Mungyeong,Munsan,Naesŏ,Naju,Namyangju,Nangen,Neietsu,Nonsan,Okcheon,Osan,Pohang,Puan,Pubal,Pyeongchang,Sangju,Santyoku,Sejong,Seogwipo,Seonghwan,Seongnam-si,Seosan,Seoul,Sinan,Sinhyeon,Sintansin,Sokcho,Suncheon,Suwon,Taesal-li,Tangjin,Tonghae,T’aebaek,Uijeongbu-si,Ulsan,Ungsang,Wabu,Waegwan,Wanju,Wŏnju,Yanggu,Yangju,Yangp'yŏng,Yangsan,Yeoju,Yeongam,Yeongdong,Yeonggwang,Yeonil,Yeosu,Yesan,Yongsan-dong,Yŏnmu
Daejeon,191.61,332.11,62.76,327.36,50.94,169.66,90.32,344.15,174.80,37.98,134.56,62.48,150.93,46.50,24.07,198.75,41.31,107.15,307.14,132.91,,205.93,182.57,320.57,386.73,381.85,321.31,184.51,58.01,19.34,129.38,362.90,160.58,73.48,338.85,143.09,300.11,204.86,223.76,224.02,310.34,231.86,206.58,292.10,66.23,325.94,327.54,349.55,187.26,125.61,293.66,104.79,108.47,345.24,307.39,179.77,119.23,92.46,68.29,165.67,109.67,26.53,112.94,49.85,380.02,157.46,163.87,338.36,144.44,151.90,167.47,198.52,231.54,146.39,212.68,379.41,139.87,162.33,338.35,131.54,260.64,26.24,14.72,345.10,205.02,93.10,296.76,272.37,201.17,412.32,23.12,331.45,54.25,320.67,123.27,348.02,252.14,153.04,9.47,363.99,155.47,318.69,94.25,379.02,402.66,252.14,350.55,201.77,185.99,333.78,138.11,91.55,261.52,332.26,362.33,302.45,177.79,283.31,218.28,31.63,126.33,205.95,167.08,48.39,368.83,31.37
Eisen,27.98,137.02,131.32,132.27,185.75,214.68,296.64,149.06,160.61,221.44,105.24,159.90,138.61,174.71,225.66,60.46,126.81,154.05,112.05,80.18,206.02,,85.53,365.58,191.64,186.77,126.22,170.31,81.42,229.36,189.77,167.82,73.09,214.76,143.77,312.84,105.02,107.82,90.02,269.03,115.25,101.53,109.54,97.02,204.49,130.85,132.45,154.46,232.28,82.93,98.57,202.21,205.89,150.15,352.40,71.98,216.65,189.88,165.71,151.47,207.08,185.31,319.34,134.84,184.94,55.07,208.88,143.28,189.46,212.29,310.05,184.32,276.55,286.10,34.33,184.33,127.12,304.92,143.26,228.96,65.55,212.51,208.31,150.02,107.98,227.96,101.67,77.28,62.01,217.24,255.25,376.47,166.41,125.58,199.04,152.93,297.15,213.43,211.06,168.90,200.48,123.60,203.90,183.93,207.57,45.13,155.47,187.57,171.80,138.70,72.03,188.96,66.44,137.18,167.24,107.37,163.59,88.23,263.29,189.94,309.86,108.91,212.09,204.14,173.74,208.67
Eisen,71.36,211.87,206.16,207.12,260.60,192.05,274.01,223.91,92.65,198.81,82.61,137.27,112.66,231.58,203.03,104.92,201.65,131.42,186.90,29.46,183.39,85.69,,342.95,266.49,261.61,201.07,95.62,70.29,206.73,167.14,242.66,65.56,192.14,218.61,290.21,179.87,23.15,34.25,246.40,190.10,7.83,36.03,171.86,279.34,205.70,207.30,229.31,209.65,60.30,173.42,179.58,183.26,225.00,329.77,56.49,194.02,167.25,143.08,89.27,184.45,162.68,296.71,209.69,259.78,37.22,186.25,218.12,166.83,189.67,287.43,59.34,253.92,263.47,74.04,259.17,104.49,282.29,218.11,206.33,140.40,189.88,185.68,224.86,34.47,205.33,176.52,152.13,65.15,292.08,232.62,353.84,241.25,200.43,273.89,227.77,274.52,190.80,188.43,243.75,177.85,198.45,278.75,258.78,282.42,131.90,230.31,112.89,97.11,213.54,49.40,166.33,141.28,212.02,242.08,182.21,83.16,163.07,240.67,167.31,287.23,35.40,189.46,278.98,248.59,186.04
Gaigeturi,351.17,491.67,304.63,486.92,292.81,153.58,253.78,503.71,277.48,247.61,263.31,274.49,253.60,288.37,340.25,358.31,316.07,219.48,466.70,292.48,320.61,365.49,342.13,,546.29,541.41,480.87,287.19,353.13,267.61,232.27,522.46,320.14,226.71,498.41,173.51,459.67,387.68,326.44,102.92,469.90,334.54,376.22,451.66,273.16,485.50,487.10,509.11,162.27,285.17,453.22,225.63,225.84,504.80,13.82,339.33,199.93,244.24,265.51,268.35,212.01,299.90,180.00,489.49,539.58,317.02,189.69,497.92,172.27,254.80,170.72,301.20,137.22,146.76,372.24,538.97,242.54,165.59,497.91,207.34,420.20,283.86,322.90,504.66,374.66,202.49,456.32,431.93,360.73,571.88,289.41,29.68,296.12,480.23,286.73,507.58,157.82,255.93,325.65,523.55,166.73,478.25,307.69,296.30,562.22,411.70,510.11,304.45,288.67,493.34,306.87,243.33,421.08,491.82,521.89,462.01,280.47,442.87,122.21,304.53,170.52,375.59,179.00,285.12,528.39,290.31
Ganghwa-gun,200.17,50.08,93.23,51.94,91.08,386.86,131.01,34.20,332.79,150.52,277.42,332.08,310.79,99.76,150.59,232.65,122.79,326.24,123.23,252.36,378.21,183.50,257.72,537.77,,196.59,106.09,342.50,253.61,133.69,361.96,26.53,245.28,176.09,75.97,245.70,79.57,280.01,262.21,441.22,72.12,273.71,281.73,121.70,109.82,142.04,83.58,59.79,404.46,255.12,88.44,374.40,378.08,31.08,524.59,244.16,388.84,362.07,337.90,323.66,187.93,357.50,215.54,134.97,194.76,227.25,381.07,43.98,361.64,384.48,482.24,356.51,448.74,249.00,208.41,34.64,299.31,477.11,78.90,401.15,161.49,149.95,380.50,75.06,280.17,195.71,89.95,155.29,234.19,227.06,114.75,548.65,91.45,61.23,104.37,44.14,469.34,385.62,383.25,178.73,372.67,60.13,109.23,89.26,217.39,251.03,42.89,359.76,343.98,79.92,244.22,361.15,123.20,148.36,99.44,99.02,335.78,96.67,435.48,362.13,228.94,281.10,384.28,109.47,45.88,156.39
Gangneung,156.73,159.57,137.76,150.53,200.57,343.42,240.50,164.60,289.35,350.19,233.98,288.64,267.36,208.46,156.91,189.21,181.95,282.80,97.67,208.92,334.77,140.06,214.28,494.33,175.71,,116.56,299.06,210.17,358.10,318.52,151.89,201.84,343.51,127.84,441.59,138.74,236.57,218.77,397.78,127.01,230.28,238.29,96.14,219.31,116.47,116.53,169.28,361.03,211.68,103.43,330.96,334.64,168.42,481.15,200.72,345.40,318.63,294.46,280.22,335.83,314.06,448.08,141.29,57.12,183.81,337.63,162.13,318.21,341.04,438.80,313.07,405.30,414.85,164.97,168.40,255.87,433.67,127.33,357.71,73.14,341.26,337.06,183.76,236.73,356.70,106.18,54.84,190.75,36.80,167.92,505.21,200.15,138.91,213.86,137.00,425.90,342.18,339.81,41.09,329.23,152.10,218.71,198.75,27.14,60.77,139.54,316.32,300.54,122.77,200.78,317.71,79.77,122.80,151.31,112.22,292.34,94.67,392.04,318.69,438.61,237.66,340.84,218.95,157.81,337.42
Gapyeong,149.84,69.22,96.15,60.19,110.22,336.53,150.16,74.26,282.46,343.30,227.10,281.75,260.47,118.11,133.98,182.32,91.61,275.91,17.58,202.03,327.88,133.17,207.39,487.44,85.37,117.21,,292.17,203.28,351.22,311.63,61.55,194.95,336.62,37.50,434.70,48.39,229.68,211.88,390.89,36.66,223.39,231.40,42.32,128.96,34.17,26.18,78.93,354.14,204.79,95.44,324.07,327.75,78.07,474.26,193.83,338.51,311.74,287.57,273.33,328.94,307.17,441.20,118.37,115.38,176.93,330.74,71.78,311.32,334.15,431.91,306.18,398.41,407.96,158.08,78.06,248.98,426.78,36.99,350.82,111.16,334.37,330.17,93.42,229.84,349.82,73.35,107.08,183.86,147.68,145.00,498.32,109.81,48.56,123.51,46.66,419.01,335.29,332.92,99.35,322.34,61.76,128.37,108.40,138.02,171.65,49.20,309.43,293.66,32.42,193.89,310.82,72.88,45.85,60.97,30.99,285.45,88.01,385.15,311.80,431.72,230.77,333.95,128.61,67.47,330.53
Gijang,155.67,296.17,290.47,291.43,236.94,136.87,274.93,308.21,17.84,199.73,67.82,138.19,48.03,232.50,203.95,162.82,285.96,76.25,271.20,74.05,184.31,169.99,94.71,287.78,350.79,345.92,285.37,,157.63,207.65,96.63,326.97,124.65,193.05,302.92,235.04,264.17,55.21,69.86,191.23,274.40,77.97,119.64,256.17,363.65,290.00,291.61,313.62,154.48,89.68,257.73,180.50,167.23,309.30,274.60,143.83,194.94,168.17,144.00,29.77,185.37,163.60,241.54,294.00,344.09,121.53,131.08,302.43,111.66,119.16,232.25,44.63,198.75,208.30,176.75,343.48,48.54,227.12,302.41,148.74,224.70,190.80,186.60,309.17,118.08,264.02,260.82,236.43,165.24,376.39,233.54,298.66,325.56,284.73,358.20,312.08,219.35,120.29,189.35,328.05,122.68,282.75,363.05,343.08,366.72,216.20,314.62,23.51,31.81,297.85,111.37,167.25,225.59,296.33,326.39,266.52,17.99,247.38,185.49,168.23,232.06,119.01,134.29,363.29,332.89,186.96
Gimcheon,122.48,262.98,257.27,258.23,203.72,163.04,241.71,275.02,108.97,166.51,53.60,104.97,86.98,199.29,170.73,129.63,252.76,102.42,238.01,63.79,151.09,136.80,70.16,313.95,317.60,312.72,252.18,118.68,,174.43,122.80,293.78,16.31,159.84,269.72,261.21,230.98,92.45,157.93,217.40,241.21,86.16,94.17,222.98,330.45,256.81,258.41,280.42,180.65,56.49,224.53,147.28,150.96,276.11,300.77,14.11,161.72,134.95,110.78,99.84,152.15,130.38,267.70,260.80,310.90,88.34,157.25,269.23,137.82,145.33,258.42,132.69,224.92,234.47,36.60,310.28,75.49,253.29,269.22,174.90,191.51,157.59,43.35,275.97,92.61,173.03,227.63,203.24,22.96,343.20,200.32,324.83,292.37,251.54,325.00,278.89,245.52,146.46,156.13,294.86,148.85,249.56,329.86,309.89,333.53,183.01,281.42,135.94,120.16,264.65,19.57,134.03,192.39,263.14,293.20,233.33,111.96,214.18,211.66,26.60,258.23,93.54,160.46,199.78,299.70,153.74
Gongju,215.48,87.21,50.77,91.89,38.94,203.17,76.93,99.24,198.68,21.18,158.43,83.42,174.80,34.51,28.57,222.63,40.84,131.02,331.01,156.79,19.63,229.80,206.45,275.31,131.43,405.73,146.30,208.38,141.76,,153.25,109.93,184.46,60.10,116.18,129.70,119.78,228.74,247.63,178.77,112.32,255.74,230.46,315.98,52.84,349.82,123.79,80.14,137.97,149.49,115.64,69.35,69.25,100.34,262.13,203.65,95.46,53.24,69.49,189.55,71.93,112.02,99.55,52.80,403.90,181.34,108.93,90.44,168.32,175.78,154.08,222.40,149.25,133.00,236.56,126.44,163.74,148.95,119.10,92.32,284.51,21.97,33.61,60.29,228.90,79.72,117.15,296.24,225.05,436.20,15.64,286.20,42.25,101.44,109.88,112.56,167.30,176.91,21.77,387.87,123.65,74.50,82.25,63.47,426.53,276.01,127.88,225.65,209.87,120.13,161.99,52.32,285.40,356.14,139.65,326.33,201.67,123.86,173.03,116.65,112.94,229.83,136.17,35.00,116.21,28.41
Goseong,160.60,301.10,295.39,296.35,182.62,82.75,220.60,313.14,86.92,145.41,72.74,83.86,63.04,178.18,149.62,167.75,166.87,28.85,276.13,101.91,129.98,174.92,151.56,233.65,355.72,350.84,290.30,96.62,134.92,153.32,,331.90,129.57,138.73,307.84,180.91,269.10,197.11,135.87,137.10,279.33,143.98,185.65,261.10,196.51,294.93,296.53,318.54,100.35,94.61,262.65,126.17,129.85,314.23,220.47,148.76,140.61,113.84,89.67,77.78,131.05,109.27,187.41,298.92,349.02,126.46,76.95,307.36,57.53,29.34,178.13,110.63,144.62,154.17,181.67,348.40,51.98,172.99,307.34,94.61,229.63,136.48,132.27,314.09,184.09,209.89,265.75,241.36,170.17,381.32,179.21,244.54,185.92,289.66,363.12,317.01,165.22,30.48,135.02,332.98,68.55,287.68,367.98,348.01,371.65,221.13,319.54,113.88,98.11,302.77,121.67,112.93,230.51,301.26,331.32,271.45,89.90,252.30,131.37,113.90,177.93,185.02,80.16,178.67,337.82,132.63
Goyang-si,162.13,32.11,75.25,33.97,73.11,348.82,113.04,15.18,294.75,132.55,239.38,294.04,272.76,81.79,127.13,194.61,84.75,288.20,78.57,214.32,340.17,145.46,219.68,499.73,26.29,151.92,61.43,304.46,215.57,115.72,323.92,,207.24,158.12,26.66,446.99,41.53,241.97,224.17,403.18,31.05,235.68,243.69,77.04,91.85,97.37,38.92,41.82,366.43,217.08,64.98,336.36,340.04,18.99,486.55,206.12,350.80,324.03,299.86,285.62,341.23,319.46,197.57,111.51,150.10,189.21,343.03,21.96,323.61,346.44,444.20,318.47,410.70,420.25,170.37,17.65,261.27,439.07,29.07,363.11,123.45,346.66,342.46,57.09,242.13,177.74,66.49,117.25,196.15,182.40,138.14,510.61,73.48,41.70,86.40,11.17,431.30,347.58,345.21,134.06,334.63,42.16,91.26,71.29,172.73,206.36,18.26,321.72,305.94,29.95,206.18,323.11,85.17,103.69,52.71,60.98,297.74,73.21,397.44,324.09,444.01,243.06,346.24,91.49,12.55,342.82
Gumi,58.24,198.74,193.04,194.00,209.90,169.22,247.89,210.78,115.15,172.69,59.78,111.15,93.15,205.46,176.91,65.39,188.53,108.60,173.77,69.97,157.27,72.56,65.19,320.13,253.36,248.49,187.94,124.86,16.01,180.61,128.98,229.54,,166.01,205.49,267.39,166.74,87.48,164.11,223.58,176.97,81.18,89.20,158.74,266.22,192.57,194.18,216.18,186.82,62.66,160.30,153.46,157.14,211.87,306.95,10.41,167.90,141.13,116.96,106.02,158.33,136.56,273.88,196.57,246.66,24.10,163.43,205.00,144.00,151.51,264.60,138.87,231.10,240.64,43.36,246.05,81.67,259.47,204.98,181.08,127.27,163.76,159.56,211.74,87.64,179.21,163.39,139.00,34.46,278.96,206.50,331.01,228.13,187.30,260.76,214.65,251.70,152.64,162.31,230.62,155.03,185.32,265.62,245.65,269.29,118.77,217.19,142.12,126.34,200.42,14.94,140.21,128.16,198.90,228.96,169.09,118.14,149.95,217.84,42.55,264.41,88.57,166.64,265.86,235.46,159.92
Gunsan,200.23,133.15,90.01,137.84,78.19,154.45,39.15,145.19,183.43,32.98,143.19,68.18,159.55,73.75,87.89,207.38,101.45,115.78,315.77,141.54,72.34,214.55,191.20,226.59,177.38,390.48,192.25,193.14,126.52,52.98,138.01,155.88,169.21,,162.12,80.98,165.73,213.49,232.39,130.04,158.27,240.49,215.21,300.73,58.53,334.57,169.74,126.09,89.24,134.24,165.94,15.93,50.71,146.28,213.41,188.40,46.73,28.57,54.25,174.30,23.21,96.77,50.82,109.87,388.65,166.09,190.56,139.41,173.14,160.53,105.36,207.15,100.52,84.28,221.31,172.39,148.50,100.22,165.05,73.78,269.27,69.24,119.77,99.53,213.65,30.99,167.46,281.00,209.80,420.95,74.78,237.47,81.49,147.39,72.10,158.50,118.58,161.67,75.15,372.62,167.60,137.64,93.06,81.67,411.29,260.77,173.82,210.40,194.62,166.07,146.74,27.87,270.15,340.89,185.60,311.08,186.42,174.17,124.30,101.41,64.22,214.58,179.87,70.49,162.15,75.68
Guri-si,138.56,38.79,65.72,29.75,79.79,325.25,119.72,47.04,271.18,139.23,215.81,270.47,249.18,87.68,103.55,171.03,61.17,264.62,54.99,190.75,316.59,121.89,196.10,476.15,50.65,128.35,37.85,280.88,191.99,339.93,300.34,26.83,183.67,164.80,,423.42,17.96,218.39,200.59,379.60,7.48,212.10,220.11,53.46,98.53,73.79,15.34,48.50,342.85,193.51,41.40,312.78,316.46,48.13,462.97,182.55,327.22,300.45,276.28,262.04,317.65,295.88,429.91,87.93,126.52,165.64,319.45,41.35,300.03,322.87,420.63,294.90,387.12,396.67,146.79,43.34,237.69,415.49,5.56,339.53,99.87,323.09,318.88,62.98,218.55,184.42,42.92,93.67,172.58,158.82,114.57,487.04,79.37,18.13,93.08,9.94,407.72,324.00,321.63,110.49,311.05,31.32,97.94,77.97,149.15,182.79,14.48,298.15,282.37,6.58,182.60,299.54,61.59,80.12,27.37,37.41,274.17,49.63,373.87,300.51,420.43,219.48,322.66,98.17,10.90,319.24
Gwangju,299.70,229.09,185.95,233.78,174.12,102.11,135.09,241.13,226.02,128.92,211.84,223.02,202.14,169.69,183.83,306.85,197.39,168.01,415.23,241.01,168.28,314.02,290.66,174.25,273.32,489.94,429.40,235.72,301.66,148.92,180.80,251.82,268.67,108.02,258.06,,408.20,336.21,274.97,77.70,254.21,283.08,324.75,400.20,154.47,434.03,435.63,222.03,8.42,233.71,401.75,106.94,174.37,242.22,161.07,287.86,81.25,110.07,214.04,216.88,93.33,248.43,32.60,205.81,488.12,265.56,138.22,235.35,120.81,203.33,6.18,249.73,48.19,34.47,320.77,268.33,191.08,17.51,260.99,40.88,368.73,165.18,271.43,195.47,323.19,83.80,404.85,380.46,309.27,520.42,170.72,185.14,177.43,243.33,168.04,254.44,66.24,204.47,171.09,472.08,115.26,233.58,189.00,177.61,510.75,360.23,269.76,252.98,237.21,441.87,255.40,118.56,369.61,440.36,281.54,410.55,229.00,391.40,71.97,253.07,51.84,324.12,127.53,166.43,258.09,171.62
Gwangju,122.31,32.27,33.34,26.21,73.27,309.00,113.20,37.34,254.93,315.77,199.56,254.22,232.93,80.95,97.40,154.79,63.41,248.38,81.73,174.50,300.35,105.64,179.86,459.91,66.54,156.44,48.62,264.64,175.75,323.68,284.10,42.55,167.42,309.09,18.49,407.17,,202.15,184.35,363.36,11.34,195.85,203.87,66.69,92.01,100.53,26.11,41.98,326.60,177.26,24.60,296.53,300.22,39.10,446.73,166.30,310.98,284.21,260.03,245.80,301.41,279.64,413.66,81.78,154.61,149.39,303.21,30.56,283.78,306.62,404.38,278.65,370.88,380.43,130.55,59.05,221.45,399.25,21.42,323.29,83.63,306.84,302.63,56.25,202.31,322.28,27.69,77.43,156.33,186.91,108.42,470.79,72.64,9.74,86.56,27.66,391.48,307.76,305.39,138.58,294.81,18.44,91.42,71.45,177.24,151.85,30.19,281.90,266.12,22.44,166.36,283.29,45.34,106.85,41.97,19.64,257.92,29.01,357.62,284.27,404.19,203.24,306.42,91.66,48.47,303.00
Gyeongju,92.35,232.85,227.14,228.10,281.58,240.12,294.99,244.89,131.25,219.80,103.59,158.25,151.27,252.57,224.01,125.90,222.63,179.49,207.88,68.07,204.37,106.67,23.11,391.02,287.47,282.59,222.05,48.71,91.27,227.71,199.87,263.64,86.54,213.12,239.59,338.28,200.85,,72.86,294.47,211.08,27.84,22.48,192.84,300.32,226.68,228.28,250.29,257.72,81.29,194.40,200.56,204.24,245.98,377.84,77.47,215.00,188.23,164.06,127.87,205.43,183.66,344.78,230.67,280.76,58.21,234.32,239.10,214.90,222.40,335.49,97.95,301.99,311.54,95.03,280.15,125.47,330.36,239.09,251.98,161.38,210.87,206.66,245.84,18.52,226.31,197.50,173.11,86.13,313.06,253.60,401.91,262.24,221.41,294.87,248.76,322.59,223.54,209.41,264.73,225.92,219.43,299.73,279.76,303.40,152.88,251.29,30.34,38.03,234.52,70.38,187.32,162.26,233.00,263.07,203.19,37.82,184.05,288.73,188.29,335.30,16.72,237.53,299.97,269.57,207.02
Gyeongsan-si,74.96,215.47,209.76,210.72,275.95,175.88,313.94,227.51,67.02,238.74,106.82,177.19,87.04,271.51,242.95,82.11,205.25,115.25,190.50,9.62,223.32,89.28,34.07,326.78,270.09,265.21,204.66,69.99,103.61,246.65,135.64,246.26,43.94,232.06,222.21,274.05,183.47,70.45,,230.24,193.70,9.97,59.00,175.46,282.94,209.30,210.90,232.91,193.48,16.16,177.02,219.50,206.24,228.60,313.61,89.81,233.95,207.18,183.00,63.64,224.38,202.61,280.54,213.29,263.38,40.82,170.09,221.72,150.66,158.17,271.26,33.71,237.76,247.30,107.36,262.77,87.55,266.13,221.71,187.74,144.00,229.81,225.60,228.46,57.43,303.03,180.12,155.73,98.46,295.68,272.55,337.67,244.85,204.03,277.49,231.37,258.36,159.30,228.36,247.35,161.69,202.05,282.35,262.38,286.02,135.50,233.91,87.26,71.48,217.14,29.65,206.26,144.88,215.62,245.68,185.81,57.53,166.67,224.50,207.24,271.06,58.36,173.30,282.58,252.18,225.97
Haenam,254.54,395.05,208.01,390.30,196.19,56.96,157.16,407.09,180.86,150.99,166.69,177.87,156.98,191.75,243.63,261.69,219.45,122.86,370.08,195.85,223.99,268.86,245.51,103.10,449.67,444.79,384.25,190.57,256.51,170.99,135.65,425.84,223.52,130.09,401.79,76.89,363.05,291.06,229.82,,373.28,237.92,279.60,355.04,176.54,388.88,390.48,412.49,65.65,188.55,356.60,129.01,129.22,408.18,89.92,242.71,103.31,147.62,168.89,171.73,115.39,203.28,83.38,392.87,442.96,220.40,93.07,401.30,75.65,158.18,74.10,204.58,40.59,50.14,275.62,442.35,145.92,68.97,401.29,110.72,323.58,187.24,226.28,408.04,278.04,105.87,359.70,335.31,264.11,475.26,192.79,113.99,199.50,383.61,190.11,410.95,61.19,159.31,229.03,426.93,70.11,381.62,211.06,199.67,465.60,315.08,413.49,207.83,192.05,396.72,210.25,146.71,324.46,395.20,425.26,365.39,183.85,346.25,24.35,207.91,73.90,278.97,82.38,188.50,431.77,193.68
Hanam,132.44,35.41,59.60,26.37,76.41,319.13,116.34,44.10,265.06,135.84,209.69,264.35,243.06,84.29,97.43,164.91,55.06,258.50,54.60,184.63,310.47,115.77,189.98,470.03,55.21,127.96,37.46,274.76,185.87,333.81,294.22,31.39,177.55,161.42,7.34,417.30,11.84,212.27,194.47,373.49,,205.98,213.99,53.07,95.15,73.40,14.95,45.12,336.73,187.39,35.29,306.66,310.34,47.92,456.85,176.43,321.10,294.33,270.16,255.92,311.54,289.76,423.79,81.81,126.13,159.52,313.34,37.97,293.91,316.75,414.51,288.78,381.00,390.55,140.67,47.90,231.57,409.37,10.26,333.42,93.76,316.97,312.76,59.60,212.43,181.03,36.80,87.55,166.46,158.43,108.45,480.92,75.99,14.74,89.70,16.50,401.60,317.88,315.52,110.10,304.93,27.94,94.55,74.59,148.76,182.40,19.04,292.03,276.25,11.29,176.49,293.42,55.47,79.73,30.81,31.29,268.05,43.51,367.75,294.40,414.31,213.36,316.54,94.79,37.31,313.12
Hayang,87.23,227.73,222.02,222.98,276.46,183.57,321.63,239.77,74.71,246.43,114.52,184.89,94.73,279.20,250.65,120.78,217.51,122.95,202.76,14.69,231.01,101.55,7.85,334.48,282.35,277.47,216.93,77.69,86.15,254.35,143.33,258.52,81.42,239.75,234.47,281.74,195.73,27.85,9.65,237.93,205.96,,41.54,187.72,295.20,221.56,223.16,245.17,201.18,32.76,189.28,227.20,213.93,240.86,321.30,72.35,241.64,214.87,190.70,71.33,232.07,210.30,288.24,225.55,275.64,53.08,177.78,233.98,158.36,165.86,278.95,41.41,245.45,255.00,89.90,275.03,95.24,273.82,233.97,195.44,156.26,237.50,233.30,240.72,39.98,310.72,192.38,167.99,81.01,307.94,280.24,345.36,257.11,216.29,289.75,243.63,266.05,166.99,236.05,259.61,169.38,214.31,294.61,274.64,298.28,147.76,246.17,94.95,79.17,229.40,38.46,213.95,157.14,227.88,257.94,198.07,65.23,178.93,232.19,214.93,278.76,40.91,180.99,294.84,264.45,233.66
Heunghae,95.19,235.69,229.98,230.94,284.42,225.97,297.83,247.73,117.11,222.64,106.43,161.09,137.13,255.41,226.85,128.74,225.47,165.35,210.72,53.93,207.21,109.51,36.07,376.88,290.31,285.43,224.89,120.09,94.11,230.55,185.73,266.48,89.38,215.96,242.43,324.14,203.69,22.38,58.72,280.33,213.92,41.49,,195.68,303.16,229.52,231.12,253.13,243.58,84.13,197.24,203.40,207.08,248.82,363.70,80.31,217.84,191.07,166.90,113.73,208.27,186.50,330.64,233.51,283.60,61.05,220.18,241.94,200.76,208.26,321.35,83.81,287.85,297.40,97.87,282.99,128.31,316.22,241.93,237.83,164.22,213.71,209.50,248.68,6.36,229.15,200.34,175.95,88.97,315.90,256.44,387.76,265.08,224.25,297.71,251.60,308.45,209.39,212.25,267.57,211.78,222.27,302.57,282.60,306.24,155.72,254.13,137.35,121.57,237.36,73.22,190.16,165.10,235.84,265.91,206.03,107.63,186.89,274.59,191.13,321.16,9.53,223.39,302.80,272.41,209.86
Hongch’ŏn,113.81,100.77,95.07,76.12,126.16,300.50,382.46,90.19,246.43,307.26,191.06,245.72,224.43,138.46,114.21,146.28,90.56,239.87,21.72,166.00,291.84,97.14,171.35,451.40,101.30,96.43,35.88,256.13,167.24,315.18,275.59,77.48,158.91,300.58,53.43,398.66,65.85,193.64,175.84,354.85,52.60,187.35,195.36,,144.90,40.52,42.12,94.87,318.10,168.75,59.40,288.03,291.71,94.01,438.22,157.80,302.47,275.70,251.53,237.29,292.90,271.13,405.16,98.59,94.60,140.89,294.70,107.03,275.28,298.12,395.88,270.14,362.37,371.92,122.04,93.99,212.94,390.74,52.92,314.78,75.12,298.33,294.13,113.77,193.80,313.78,62.50,71.05,147.83,126.90,125.23,462.29,130.16,64.50,139.45,62.59,382.97,299.25,296.88,78.57,286.30,87.35,144.30,124.34,117.23,150.87,65.13,273.39,257.62,48.36,157.85,274.78,36.84,46.84,76.90,68.19,249.41,51.98,349.11,275.76,395.68,194.73,297.91,144.54,83.40,294.49
Hongseong,223.03,69.86,69.20,74.54,26.23,201.41,21.04,81.89,355.65,33.83,300.28,133.03,333.65,38.79,63.12,255.50,145.64,180.63,146.09,275.22,74.68,206.36,280.57,273.55,114.08,219.44,128.95,365.35,276.46,40.52,202.86,92.58,268.14,58.34,98.83,127.94,102.43,302.86,285.06,177.00,94.97,296.57,304.58,144.56,,164.89,106.44,62.79,136.21,277.98,102.65,67.59,118.86,82.98,260.37,267.02,93.70,79.91,119.10,346.51,70.17,161.63,97.79,149.17,217.62,250.11,237.52,76.11,220.11,225.39,152.32,379.37,147.49,131.24,231.26,109.09,322.16,147.19,101.75,141.93,184.34,71.58,184.63,97.74,303.02,77.96,104.16,178.14,257.05,249.92,77.12,284.44,42.63,84.09,24.39,95.21,165.54,226.52,77.49,201.58,214.56,74.34,41.14,26.25,240.25,273.88,110.53,382.62,366.84,102.78,267.07,79.21,146.06,171.21,122.30,121.88,358.64,110.87,171.27,166.26,111.18,303.95,226.83,12.82,98.85,78.02
Hwacheon,148.30,135.26,129.56,96.55,146.58,334.99,416.95,110.62,280.92,341.75,225.55,280.21,258.92,172.95,148.70,180.77,125.05,274.36,18.53,200.49,326.33,131.63,205.84,485.89,121.73,116.86,34.10,290.62,201.73,349.67,310.08,97.91,193.40,335.08,73.86,433.15,100.34,228.13,210.33,389.34,73.02,221.84,229.85,40.78,165.33,,62.55,115.30,352.59,203.24,93.89,322.52,326.20,114.44,472.71,192.29,336.96,310.19,286.02,271.78,327.39,305.62,439.65,133.09,115.03,175.38,329.19,108.15,309.77,332.61,430.37,304.63,396.86,406.41,156.53,114.42,247.43,425.23,73.35,349.27,109.61,332.82,328.62,148.26,228.29,348.27,96.99,105.54,182.32,147.33,159.72,496.78,164.65,84.92,159.88,83.02,417.46,333.74,331.37,99.00,320.79,121.84,164.73,144.77,137.66,171.30,85.56,307.88,292.11,68.79,192.34,309.27,71.33,33.83,97.33,102.68,283.91,86.47,383.61,310.25,430.17,229.22,332.40,164.97,103.83,328.98
