 ,Andong,Ansan-si,Anseong,Anyang-si,Asan,Beolgyo,Boryeong,Bucheon-si,Busan,Buyeo,Changnyeong,Changsu,Changwon,Cheonan,Cheongju-si,Cheongsong gun,Chinch'ŏn,Chinju,Chuncheon,Daegu,Daejeon,Eisen,Eisen,Gaigeturi,Ganghwa-gun,Gangneung,Gapyeong,Gijang,Gimcheon,Gongju,Goseong,Goyang-si,Gumi,Gunsan,Guri-si,Gwangju,Gwangju,Gyeongju,Gyeongsan-si,Haenam,Hanam,Hayang,Heunghae,Hongch’ŏn,Hongseong,Hwacheon,Hwado,Hwaseong-si,Hwasun,Hwawŏn,Icheon-si,Iksan,Imsil,Incheon,Jeju City,Jenzan,Jeongeup,Jeonju,Jinan-gun,Kimhae,Kimje,Kinzan,Koch'ang,Koesan,Kosong,Kunwi,Kurye,Kwangmyŏng,Kwangyang,Kyosai,Masan,Miryang,Mokpo,Muan,Mungyeong,Munsan,Naesŏ,Naju,Namyangju,Nangen,Neietsu,Nonsan,Okcheon,Osan,Pohang,Puan,Pubal,Pyeongchang,Sangju,Santyoku,Sejong,Seogwipo,Seonghwan,Seongnam-si,Seosan,Seoul,Sinan,Sinhyeon,Sintansin,Sokcho,Suncheon,Suwon,Taesal-li,Tangjin,Tonghae,T’aebaek,Uijeongbu-si,Ulsan,Ungsang,Wabu,Waegwan,Wanju,Wŏnju,Yanggu,Yangju,Yangp'yŏng,Yangsan,Yeoju,Yeongam,Yeongdong,Yeonggwang,Yeonil,Yeosu,Yesan,Yongsan-dong,Yŏnmu
Changnyeong,90.58,231.08,225.38,226.34,187.42,112.81,225.41,243.12,58.74,150.21,,88.66,36.74,182.98,154.42,97.73,220.87,52.18,206.11,31.89,134.79,104.90,81.55,263.71,285.70,280.83,220.28,68.44,92.54,158.12,72.57,261.88,59.56,143.53,237.83,210.97,199.09,103.83,107.69,167.16,209.31,59.32,105.56,191.08,298.56,224.91,226.52,248.53,130.41,24.59,192.64,130.97,134.66,244.21,250.53,78.74,145.41,118.65,94.47,49.60,135.85,114.07,217.47,228.91,279.00,56.44,107.01,237.34,87.59,95.09,208.19,82.46,174.68,184.23,111.66,278.39,25.25,203.05,237.32,124.67,159.61,141.28,137.07,244.08,104.00,239.95,195.73,171.34,100.15,311.30,184.01,274.60,260.47,219.64,293.11,246.99,195.28,96.23,139.83,262.97,98.61,217.66,297.96,278.00,301.63,151.11,249.53,85.70,69.93,232.76,46.28,117.73,160.50,231.24,261.30,201.43,61.73,182.29,161.43,118.71,207.99,104.93,110.22,298.20,267.80,137.44
Changsu,145.63,286.13,124.61,281.39,112.79,123.69,150.78,298.17,128.83,75.58,88.58,,104.95,108.35,82.52,152.78,99.77,61.17,261.16,86.94,62.88,159.95,136.60,274.59,340.75,335.88,275.33,138.54,71.91,83.49,83.40,316.93,114.61,68.90,292.88,221.86,254.14,158.89,177.79,178.05,264.36,185.89,160.61,246.13,126.68,279.97,281.57,303.58,141.29,79.64,247.69,56.35,60.03,299.26,261.41,133.80,70.79,44.02,19.85,119.70,61.22,42.17,101.93,283.96,334.05,111.49,117.90,292.39,98.47,105.93,219.07,152.55,185.56,195.11,166.71,333.44,93.89,213.93,292.37,83.10,214.66,66.65,65.17,299.13,159.05,82.09,250.79,226.39,155.20,366.35,109.39,285.48,116.10,274.70,183.73,302.04,206.16,107.06,67.92,318.02,109.49,272.71,353.01,333.05,356.68,206.16,304.58,155.80,140.02,287.81,92.14,43.10,215.55,286.29,316.35,256.48,131.82,237.34,172.31,46.80,115.32,159.98,121.10,108.84,322.85,62.81
Changwon,123.13,263.63,257.93,258.88,204.40,104.33,242.39,275.67,38.52,167.19,35.27,105.65,,199.96,171.40,130.28,253.42,43.71,238.66,91.67,151.77,137.45,112.33,255.24,318.25,313.37,252.83,48.23,125.09,175.11,64.09,294.43,92.11,160.51,270.38,202.50,231.63,148.72,87.48,158.69,241.86,95.58,137.26,223.63,331.10,257.46,259.06,281.07,121.94,57.14,225.18,147.96,134.69,276.76,242.06,111.29,162.40,135.63,111.46,29.39,152.83,131.06,208.99,261.45,311.55,88.99,98.54,269.89,79.11,86.62,199.71,62.24,166.21,175.76,144.21,310.94,13.37,194.58,269.87,116.19,192.16,158.26,154.06,276.63,135.70,231.48,228.28,203.89,132.70,343.85,201.00,266.12,293.02,252.19,325.65,279.54,186.81,87.75,156.81,295.51,90.14,250.21,330.51,310.54,334.18,183.66,282.08,65.49,49.71,265.31,78.83,134.71,193.05,263.79,293.85,233.98,41.51,214.84,152.95,135.69,199.52,136.63,101.75,330.75,300.35,154.42
Cheonan,191.26,57.77,17.50,52.03,10.02,219.23,92.99,70.34,223.55,50.58,183.30,108.29,199.67,,28.13,223.73,37.76,155.89,135.49,181.66,48.31,174.59,248.80,291.37,101.59,208.85,118.35,233.25,166.63,35.05,178.12,81.02,209.33,76.15,88.23,145.76,91.83,271.09,272.50,194.82,84.37,280.61,272.81,133.96,36.85,154.29,95.84,52.19,154.02,174.36,85.50,85.41,94.12,71.43,278.19,235.25,111.51,78.11,94.36,214.41,87.99,136.89,115.60,46.19,207.02,218.34,133.80,60.31,193.19,200.65,170.14,247.27,165.30,149.06,77.79,97.53,188.61,165.00,91.15,117.19,152.58,46.84,159.89,27.59,271.25,95.77,87.01,148.33,225.28,239.32,21.40,302.25,8.16,73.49,46.45,68.96,183.36,201.78,39.03,190.99,148.52,43.28,54.30,35.52,229.65,263.29,97.38,250.52,234.74,92.18,186.86,77.19,114.29,160.62,111.70,111.28,226.54,93.73,189.08,141.52,129.00,272.18,161.04,26.24,68.92,53.28
Cheongju-si,166.73,110.51,41.44,105.76,37.50,190.46,106.37,122.55,195.60,63.96,155.35,83.27,171.72,32.84,,199.21,18.10,127.94,129.73,153.71,24.02,150.06,112.56,341.36,154.74,204.44,143.89,205.30,67.55,28.57,150.17,133.24,81.72,89.53,139.48,159.14,89.53,134.85,244.55,244.81,97.57,252.66,136.57,114.69,63.17,148.53,150.13,127.95,167.40,146.41,71.71,98.79,129.27,123.64,328.18,72.65,124.89,113.26,89.09,186.46,101.37,47.32,128.99,25.88,202.61,193.81,184.66,116.76,165.24,172.70,183.52,219.32,178.68,162.44,57.49,149.74,160.66,178.38,142.40,152.34,128.05,60.22,36.10,123.50,135.01,109.15,71.97,123.80,54.58,234.91,13.92,352.25,37.49,124.74,172.53,119.66,196.74,173.83,15.14,186.58,176.26,97.09,80.81,157.42,225.24,196.28,151.18,222.57,206.79,156.37,158.91,112.34,89.77,154.85,162.95,83.40,198.59,69.20,239.08,52.06,142.38,135.94,187.87,52.57,119.24,66.66
Cheongsong gun,45.77,186.27,180.57,181.53,235.01,207.63,289.59,198.32,153.56,214.40,98.19,152.85,131.56,247.17,218.61,,176.06,147.00,161.31,73.13,198.97,60.09,105.03,358.53,240.89,236.02,175.47,163.26,74.56,222.31,182.72,217.07,74.19,207.72,193.02,305.80,154.28,127.32,82.97,261.99,164.51,121.03,46.04,146.27,253.75,180.11,181.71,203.72,225.23,75.89,147.83,195.16,198.84,199.41,345.35,65.12,209.60,182.83,158.66,144.42,200.04,178.26,312.29,184.10,234.19,48.02,201.84,192.53,182.41,205.25,303.01,177.28,269.50,279.05,66.66,233.58,120.07,297.87,192.51,221.91,114.80,205.47,201.26,199.27,127.48,220.91,150.93,126.53,55.15,266.49,248.20,369.42,215.66,174.84,248.30,202.18,290.10,206.38,204.02,218.16,193.43,172.85,253.15,233.19,256.82,106.30,204.72,180.53,164.75,187.95,64.98,181.92,115.69,186.43,216.49,156.62,156.55,137.48,256.25,182.90,302.81,128.41,205.04,253.39,222.99,201.62
Chinch'ŏn,144.31,68.00,24.45,63.25,44.64,246.07,119.83,80.04,276.93,77.42,221.57,135.14,254.94,37.50,17.38,176.79,,270.38,107.31,196.50,43.49,127.64,201.86,318.21,112.23,182.02,121.47,286.64,197.75,61.89,168.25,85.41,189.42,103.00,61.36,172.60,63.23,224.15,206.35,221.66,55.00,217.86,225.87,92.27,135.48,126.11,68.98,85.44,180.86,199.26,34.22,112.25,120.96,81.13,305.03,188.30,138.35,104.95,121.20,267.80,114.83,65.40,142.45,26.14,180.19,171.39,160.64,74.26,183.31,190.77,196.98,300.65,192.15,175.90,57.75,101.92,243.45,191.85,64.29,144.03,105.63,73.68,54.18,38.31,224.31,122.61,35.52,101.38,178.33,212.49,24.98,329.10,31.40,82.24,130.02,77.15,210.20,191.91,32.48,164.16,194.34,54.58,134.88,114.91,202.82,173.85,73.06,303.90,288.12,65.31,188.36,104.04,67.35,132.43,84.84,60.98,279.92,46.78,215.93,67.31,155.84,225.24,187.89,60.87,76.73,80.12
Chinju,140.58,281.08,275.38,276.34,159.90,69.09,197.89,293.12,66.90,122.69,52.72,61.15,43.02,155.46,126.91,147.73,144.15,,256.11,81.89,107.27,154.90,131.54,220.00,335.70,330.83,270.28,76.60,142.54,130.61,28.81,311.88,109.56,116.01,287.83,167.26,249.08,177.09,115.85,123.45,259.31,123.96,165.63,241.08,173.80,274.91,276.52,298.52,86.69,74.59,242.64,103.46,107.14,294.21,206.82,128.74,117.90,91.13,66.96,57.76,108.33,86.56,173.75,278.91,329.00,106.44,63.30,287.34,43.87,51.33,164.47,90.62,130.97,140.52,161.66,328.39,31.96,159.34,287.32,80.95,209.61,113.76,109.56,294.08,164.07,129.21,245.73,221.34,150.15,361.30,156.50,230.88,163.21,269.64,343.10,296.99,151.57,52.47,112.31,312.96,54.90,267.66,347.96,327.99,351.63,201.11,299.53,93.87,78.09,282.76,96.28,90.21,210.50,281.24,311.30,251.43,69.89,232.29,117.71,91.19,164.28,165.00,66.51,155.96,317.80,109.92
Chuncheon,129.10,116.06,110.36,77.35,127.39,315.79,397.75,91.42,261.72,322.56,206.35,261.01,239.72,153.75,129.50,161.57,105.85,255.16,,181.29,307.13,112.43,186.64,466.69,102.53,97.66,17.50,271.42,182.53,330.47,290.88,78.71,174.21,315.88,54.66,413.96,81.14,208.93,191.13,370.14,53.83,202.64,210.65,21.58,146.13,18.56,43.35,96.10,333.39,184.05,74.69,303.32,307.00,95.24,453.51,173.09,317.76,290.99,266.82,252.58,308.19,286.42,420.45,113.89,95.83,156.18,309.99,88.95,290.57,313.41,411.17,285.44,377.66,387.21,137.33,95.22,228.23,406.03,54.15,330.07,90.41,313.63,309.42,129.06,209.09,329.07,77.79,86.34,163.12,128.13,140.52,477.58,145.45,65.73,140.68,63.82,398.26,314.54,312.17,79.80,301.59,102.64,145.53,125.57,118.46,152.10,66.36,288.69,272.91,49.59,173.14,290.08,52.13,27.38,78.13,83.48,264.71,67.27,364.41,291.05,410.97,210.02,313.20,145.77,84.63,309.78
Daegu,65.46,205.96,200.25,201.21,254.69,143.90,225.87,218.00,70.86,150.67,34.47,89.13,90.88,183.44,154.89,72.61,195.74,83.28,180.99,,135.25,79.78,29.15,294.81,260.58,255.70,195.16,73.84,67.42,158.59,119.00,236.76,34.43,143.99,212.70,242.07,173.96,65.54,9.88,198.26,184.19,21.40,54.08,165.96,273.43,199.79,201.39,223.40,161.51,12.16,167.51,131.44,135.12,219.09,281.63,53.62,145.88,119.11,94.94,67.48,136.31,114.54,248.57,203.78,253.88,31.32,138.11,212.22,118.69,141.52,239.28,37.56,205.78,215.33,86.54,253.26,56.35,234.15,212.20,158.19,134.49,141.74,137.54,218.95,52.52,157.19,170.61,146.22,75.03,286.18,184.48,305.69,235.35,194.52,267.98,221.87,226.38,142.66,140.29,237.84,129.71,192.54,272.84,252.87,276.51,125.99,224.40,91.10,75.33,207.63,19.21,118.19,135.37,206.12,236.18,176.31,61.38,157.16,192.52,119.17,239.09,53.45,141.32,273.08,242.68,137.90
